Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Formatted Ins Name,Trading Symbol,Expiry Date,Lot Size,Tick Size
NFO,nse_fo,031NSETEST,36691,FUTSTK,XX,-1,031NSETEST,031NSETEST NOV36 FUT,031NSETEST27NOV36F,2036-11-27,50,0.05
NFO,nse_fo,041NSETEST,36694,FUTSTK,XX,-1,041NSETEST,041NSETEST NOV36 FUT,041NSETEST27NOV36F,2036-11-27,50,0.05
NFO,nse_fo,051NSETEST,36697,FUTSTK,XX,-1,051NSETEST,051NSETEST NOV36 FUT,051NSETEST27NOV36F,2036-11-27,50,0.05
NFO,nse_fo,061NSETEST,36700,FUTSTK,XX,-1,061NSETEST,061NSETEST NOV36 FUT,061NSETEST27NOV36F,2036-11-27,50,0.05
NFO,nse_fo,071NSETEST,36702,FUTSTK,XX,-1,071NSETEST,071NSETEST NOV36 FUT,071NSETEST27NOV36F,2036-11-27,50,0.05
NFO,nse_fo,081NSETEST,36709,FUTSTK,XX,-1,081NSETEST,081NSETEST NOV36 FUT,081NSETEST27NOV36F,2036-11-27,50,0.05
NFO,nse_fo,091NSETEST,36713,FUTSTK,XX,-1,091NSETEST,091NSETEST NOV36 FUT,091NSETEST27NOV36F,2036-11-27,50,0.05
NFO,nse_fo,101NSETEST,36715,FUTSTK,XX,-1,101NSETEST,101NSETEST NOV36 FUT,101NSETEST27NOV36F,2036-11-27,50,0.05
NFO,nse_fo,111NSETEST,36716,FUTSTK,XX,-1,111NSETEST,111NSETEST NOV36 FUT,111NSETEST27NOV36F,2036-11-27,50,0.05
NFO,nse_fo,121NSETEST,36718,FUTSTK,XX,-1,121NSETEST,121NSETEST NOV36 FUT,121NSETEST27NOV36F,2036-11-27,50,0.05
NFO,nse_fo,131NSETEST,36720,FUTSTK,XX,-1,131NSETEST,131NSETEST NOV36 FUT,131NSETEST27NOV36F,2036-11-27,50,0.05
NFO,nse_fo,141NSETEST,36721,FUTSTK,XX,-1,141NSETEST,141NSETEST NOV36 FUT,141NSETEST27NOV36F,2036-11-27,50,0.05
NFO,nse_fo,151NSETEST,36724,FUTSTK,XX,-1,151NSETEST,151NSETEST NOV36 FUT,151NSETEST27NOV36F,2036-11-27,50,0.05
NFO,nse_fo,161NSETEST,36725,FUTSTK,XX,-1,161NSETEST,161NSETEST NOV36 FUT,161NSETEST27NOV36F,2036-11-27,50,0.05
NFO,nse_fo,IDFCFIRSTB,36728,OPTSTK,CE,71,IDFC FIRST BANK LIMITED,IDFCFIRSTB MAY 71 CE,IDFCFIRSTB29MAY25C71,2025-05-29,7500,0.05
NFO,nse_fo,IDFCFIRSTB,36729,OPTSTK,PE,71,IDFC FIRST BANK LIMITED,IDFCFIRSTB MAY 71 PE,IDFCFIRSTB29MAY25P71,2025-05-29,7500,0.05
NFO,nse_fo,IDFCFIRSTB,36735,OPTSTK,CE,74,IDFC FIRST BANK LIMITED,IDFCFIRSTB JUN 74 CE,IDFCFIRSTB26JUN25C74,2025-06-26,7500,0.05
NFO,nse_fo,IDFCFIRSTB,36736,OPTSTK,PE,74,IDFC FIRST BANK LIMITED,IDFCFIRSTB JUN 74 PE,IDFCFIRSTB26JUN25P74,2025-06-26,7500,0.05
NFO,nse_fo,INDUSINDBK,36788,OPTSTK,CE,870,INDUSIND BANK LIMITED,INDUSINDBK MAY 870 CE,INDUSINDBK29MAY25C870,2025-05-29,500,0.05
NFO,nse_fo,INDUSINDBK,36790,OPTSTK,PE,870,INDUSIND BANK LIMITED,INDUSINDBK MAY 870 PE,INDUSINDBK29MAY25P870,2025-05-29,500,0.05
NFO,nse_fo,INDUSINDBK,36791,OPTSTK,CE,890,INDUSIND BANK LIMITED,INDUSINDBK MAY 890 CE,INDUSINDBK29MAY25C890,2025-05-29,500,0.05
NFO,nse_fo,INDUSINDBK,36792,OPTSTK,PE,890,INDUSIND BANK LIMITED,INDUSINDBK MAY 890 PE,INDUSINDBK29MAY25P890,2025-05-29,500,0.05
NFO,nse_fo,INDUSINDBK,36793,OPTSTK,CE,960,INDUSIND BANK LIMITED,INDUSINDBK MAY 960 CE,INDUSINDBK29MAY25C960,2025-05-29,500,0.05
NFO,nse_fo,INDUSINDBK,36794,OPTSTK,PE,960,INDUSIND BANK LIMITED,INDUSINDBK MAY 960 PE,INDUSINDBK29MAY25P960,2025-05-29,500,0.05
NFO,nse_fo,INDUSINDBK,36797,OPTSTK,CE,860,INDUSIND BANK LIMITED,INDUSINDBK JUN 860 CE,INDUSINDBK26JUN25C860,2025-06-26,500,0.05
